"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 03 09:47:26 GMT 2022","Sat Dec 03 09:47:28 GMT 2022","2587","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","wrongDataLogin","wrongDataLogin()",""
"passed","Sat Dec 03 09:47:03 GMT 2022","Sat Dec 03 09:47:09 GMT 2022","5878","","com.bsu.test_automation_framework_github.SearchTest","","com.bsu.test_automation_framework_github.SearchTest","validUserSearch","validUserSearch()",""
"passed","Sat Dec 03 09:47:23 GMT 2022","Sat Dec 03 09:47:26 GMT 2022","2805","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","emptyLogin","emptyLogin()",""
"passed","Sat Dec 03 09:47:09 GMT 2022","Sat Dec 03 09:47:12 GMT 2022","2815","","com.bsu.test_automation_framework_github.SearchTest","","com.bsu.test_automation_framework_github.SearchTest","invalidUserSearch","invalidUserSearch()",""
"passed","Sat Dec 03 09:47:12 GMT 2022","Sat Dec 03 09:47:15 GMT 2022","2763","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","emptyPassword","emptyPassword()",""
"broken","Sat Dec 03 09:47:15 GMT 2022","Sat Dec 03 09:47:23 GMT 2022","8025","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","validDataLogin","validDataLogin()",""
