"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 03 10:32:43 GMT 2022","Sat Dec 03 10:32:46 GMT 2022","2988","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","emptyLogin","emptyLogin()",""
"passed","Sat Dec 03 10:32:21 GMT 2022","Sat Dec 03 10:32:29 GMT 2022","7004","","com.bsu.test_automation_framework_github.SearchTest","","com.bsu.test_automation_framework_github.SearchTest","validUserSearch","validUserSearch()",""
"passed","Sat Dec 03 10:32:29 GMT 2022","Sat Dec 03 10:32:32 GMT 2022","3210","","com.bsu.test_automation_framework_github.SearchTest","","com.bsu.test_automation_framework_github.SearchTest","invalidUserSearch","invalidUserSearch()",""
"passed","Sat Dec 03 10:32:32 GMT 2022","Sat Dec 03 10:32:35 GMT 2022","3185","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","emptyPassword","emptyPassword()",""
"passed","Sat Dec 03 10:32:46 GMT 2022","Sat Dec 03 10:32:49 GMT 2022","2995","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","wrongDataLogin","wrongDataLogin()",""
"broken","Sat Dec 03 10:32:35 GMT 2022","Sat Dec 03 10:32:43 GMT 2022","8273","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","validDataLogin","validDataLogin()",""
