"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 03 11:36:11 GMT 2022","Sat Dec 03 11:36:14 GMT 2022","2978","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","emptyPassword","emptyPassword()",""
"passed","Sat Dec 03 11:36:14 GMT 2022","Sat Dec 03 11:36:18 GMT 2022","3130","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","validDataLogin","validDataLogin()",""
"passed","Sat Dec 03 11:36:18 GMT 2022","Sat Dec 03 11:36:22 GMT 2022","4264","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","validDataLogin1","validDataLogin1()",""
"passed","Sat Dec 03 11:36:02 GMT 2022","Sat Dec 03 11:36:08 GMT 2022","6211","","com.bsu.test_automation_framework_github.SearchTest","","com.bsu.test_automation_framework_github.SearchTest","validUserSearch","validUserSearch()",""
"passed","Sat Dec 03 11:36:25 GMT 2022","Sat Dec 03 11:36:28 GMT 2022","3033","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","wrongDataLogin","wrongDataLogin()",""
"passed","Sat Dec 03 11:36:09 GMT 2022","Sat Dec 03 11:36:11 GMT 2022","2845","","com.bsu.test_automation_framework_github.SearchTest","","com.bsu.test_automation_framework_github.SearchTest","invalidUserSearch","invalidUserSearch()",""
"passed","Sat Dec 03 11:36:22 GMT 2022","Sat Dec 03 11:36:25 GMT 2022","2944","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","emptyLogin","emptyLogin()",""
