"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 03 09:50:47 GMT 2022","Sat Dec 03 09:50:51 GMT 2022","4876","","com.bsu.test_automation_framework_github.SearchTest","","com.bsu.test_automation_framework_github.SearchTest","validUserSearch","validUserSearch()",""
"passed","Sat Dec 03 09:50:54 GMT 2022","Sat Dec 03 09:50:56 GMT 2022","2160","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","emptyPassword","emptyPassword()",""
"passed","Sat Dec 03 09:51:06 GMT 2022","Sat Dec 03 09:51:08 GMT 2022","2182","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","wrongDataLogin","wrongDataLogin()",""
"passed","Sat Dec 03 09:50:52 GMT 2022","Sat Dec 03 09:50:54 GMT 2022","2089","","com.bsu.test_automation_framework_github.SearchTest","","com.bsu.test_automation_framework_github.SearchTest","invalidUserSearch","invalidUserSearch()",""
"passed","Sat Dec 03 09:51:03 GMT 2022","Sat Dec 03 09:51:06 GMT 2022","2423","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","emptyLogin","emptyLogin()",""
"broken","Sat Dec 03 09:50:56 GMT 2022","Sat Dec 03 09:51:03 GMT 2022","7415","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","validDataLogin","validDataLogin()",""
