"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 03 12:09:54 GMT 2022","Sat Dec 03 12:09:57 GMT 2022","3011","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","emptyPassword","emptyPassword()",""
"passed","Sat Dec 03 12:09:50 GMT 2022","Sat Dec 03 12:09:54 GMT 2022","3277","","com.bsu.test_automation_framework_github.SearchTest","","com.bsu.test_automation_framework_github.SearchTest","invalidUserSearch","invalidUserSearch()",""
"passed","Sat Dec 03 12:09:44 GMT 2022","Sat Dec 03 12:09:50 GMT 2022","6223","","com.bsu.test_automation_framework_github.SearchTest","","com.bsu.test_automation_framework_github.SearchTest","validUserSearch","validUserSearch()",""
"passed","Sat Dec 03 12:10:03 GMT 2022","Sat Dec 03 12:10:06 GMT 2022","3217","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","wrongDataLogin","wrongDataLogin()",""
"passed","Sat Dec 03 12:10:00 GMT 2022","Sat Dec 03 12:10:03 GMT 2022","3144","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","emptyLogin","emptyLogin()",""
"passed","Sat Dec 03 12:09:57 GMT 2022","Sat Dec 03 12:10:00 GMT 2022","2967","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","validDataLogin","validDataLogin()",""
