"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 03 11:23:13 GMT 2022","Sat Dec 03 11:23:20 GMT 2022","6164","","com.bsu.test_automation_framework_github.SearchTest","","com.bsu.test_automation_framework_github.SearchTest","validUserSearch","validUserSearch()",""
"passed","Sat Dec 03 11:23:41 GMT 2022","Sat Dec 03 11:23:44 GMT 2022","2847","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","wrongDataLogin","wrongDataLogin()",""
"passed","Sat Dec 03 11:23:26 GMT 2022","Sat Dec 03 11:23:30 GMT 2022","3495","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","validDataLogin","validDataLogin()",""
"passed","Sat Dec 03 11:23:20 GMT 2022","Sat Dec 03 11:23:23 GMT 2022","3131","","com.bsu.test_automation_framework_github.SearchTest","","com.bsu.test_automation_framework_github.SearchTest","invalidUserSearch","invalidUserSearch()",""
"passed","Sat Dec 03 11:23:38 GMT 2022","Sat Dec 03 11:23:41 GMT 2022","3153","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","emptyLogin","emptyLogin()",""
"broken","Sat Dec 03 11:23:30 GMT 2022","Sat Dec 03 11:23:38 GMT 2022","8149","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","validDataLogin1","validDataLogin1()",""
"passed","Sat Dec 03 11:23:23 GMT 2022","Sat Dec 03 11:23:26 GMT 2022","3249","","com.bsu.test_automation_framework_github.AuthTest","","com.bsu.test_automation_framework_github.AuthTest","emptyPassword","emptyPassword()",""
